assembalge	easting	northing
assemblage-37-3	37	3
assemblage-38-3	38	3
assemblage-39-3	39	3
assemblage-40-3	40	3
assemblage-41-3	41	3
assemblage-42-3	42	3
assemblage-43-3	43	3
assemblage-44-3	44	3
assemblage-45-3	45	3
assemblage-46-3	46	3
assemblage-47-3	47	3
assemblage-48-3	48	3
assemblage-49-3	49	3
assemblage-1-4	1	4
assemblage-2-4	2	4
assemblage-3-4	3	4
assemblage-4-4	4	4
assemblage-5-4	5	4
assemblage-6-4	6	4
assemblage-7-4	7	4
assemblage-8-4	8	4
assemblage-9-4	9	4
assemblage-10-4	10	4
assemblage-11-4	11	4
assemblage-12-4	12	4
assemblage-13-4	13	4
assemblage-14-4	14	4
assemblage-15-4	15	4
assemblage-16-4	16	4
assemblage-17-4	17	4
assemblage-18-4	18	4
assemblage-19-4	19	4
assemblage-20-4	20	4
assemblage-21-4	21	4
assemblage-22-4	22	4
assemblage-23-4	23	4
assemblage-24-4	24	4
assemblage-25-4	25	4
assemblage-26-4	26	4
assemblage-27-4	27	4
assemblage-28-4	28	4
assemblage-29-4	29	4
assemblage-30-4	30	4
assemblage-31-4	31	4
assemblage-32-4	32	4
assemblage-33-4	33	4
assemblage-34-4	34	4
assemblage-35-4	35	4
assemblage-36-4	36	4
assemblage-37-4	37	4
assemblage-38-4	38	4
assemblage-39-4	39	4
assemblage-40-4	40	4
assemblage-41-4	41	4
assemblage-42-4	42	4
assemblage-43-4	43	4
assemblage-44-4	44	4
assemblage-45-4	45	4
assemblage-46-4	46	4
assemblage-47-4	47	4
assemblage-48-4	48	4
assemblage-49-4	49	4
assemblage-1-5	1	5
assemblage-2-5	2	5
assemblage-3-5	3	5
assemblage-4-5	4	5
assemblage-5-5	5	5
assemblage-6-5	6	5
assemblage-7-5	7	5
assemblage-8-5	8	5
assemblage-9-5	9	5
assemblage-10-5	10	5
assemblage-11-5	11	5
assemblage-12-5	12	5
assemblage-13-5	13	5
assemblage-14-5	14	5
assemblage-15-5	15	5
assemblage-16-5	16	5
assemblage-17-5	17	5
assemblage-18-5	18	5
assemblage-19-5	19	5
assemblage-20-5	20	5
assemblage-21-5	21	5
assemblage-22-5	22	5
assemblage-23-5	23	5
assemblage-24-5	24	5
assemblage-25-5	25	5
assemblage-26-5	26	5
assemblage-27-5	27	5
assemblage-28-5	28	5
assemblage-29-5	29	5
assemblage-30-5	30	5
assemblage-31-5	31	5
assemblage-32-5	32	5
assemblage-33-5	33	5
assemblage-34-5	34	5
assemblage-35-5	35	5
assemblage-36-5	36	5
assemblage-37-5	37	5
assemblage-38-5	38	5
assemblage-39-5	39	5
assemblage-40-5	40	5
assemblage-41-5	41	5
assemblage-42-5	42	5
assemblage-43-5	43	5
assemblage-44-5	44	5
assemblage-45-5	45	5
assemblage-46-5	46	5
assemblage-47-5	47	5
assemblage-48-5	48	5
assemblage-49-5	49	5
assemblage-1-6	1	6
assemblage-2-6	2	6
assemblage-3-6	3	6
assemblage-4-6	4	6
assemblage-5-6	5	6
assemblage-6-6	6	6
assemblage-7-6	7	6
assemblage-8-6	8	6
assemblage-9-6	9	6
assemblage-10-6	10	6
assemblage-11-6	11	6
assemblage-12-6	12	6
assemblage-13-6	13	6
assemblage-14-6	14	6
assemblage-15-6	15	6
assemblage-16-6	16	6
assemblage-17-6	17	6
assemblage-18-6	18	6
assemblage-19-6	19	6
assemblage-20-6	20	6
assemblage-21-6	21	6
assemblage-22-6	22	6
assemblage-23-6	23	6
assemblage-24-6	24	6
assemblage-25-6	25	6
assemblage-26-6	26	6
assemblage-27-6	27	6
assemblage-28-6	28	6
assemblage-29-6	29	6
assemblage-30-6	30	6
assemblage-31-6	31	6
assemblage-32-6	32	6
assemblage-33-6	33	6
assemblage-34-6	34	6
assemblage-35-6	35	6
assemblage-36-6	36	6
assemblage-37-6	37	6
assemblage-38-6	38	6
assemblage-39-6	39	6
assemblage-40-6	40	6
assemblage-41-6	41	6
assemblage-42-6	42	6
assemblage-43-6	43	6
assemblage-44-6	44	6
assemblage-45-6	45	6
assemblage-46-6	46	6
assemblage-47-6	47	6
assemblage-48-6	48	6
assemblage-49-6	49	6
assemblage-1-7	1	7
assemblage-2-7	2	7
assemblage-3-7	3	7
assemblage-4-7	4	7
assemblage-5-7	5	7
assemblage-6-7	6	7
assemblage-7-7	7	7
assemblage-8-7	8	7
assemblage-9-7	9	7
assemblage-10-7	10	7
assemblage-11-7	11	7
assemblage-12-7	12	7
assemblage-13-7	13	7
assemblage-14-7	14	7
assemblage-15-7	15	7
assemblage-16-7	16	7
assemblage-17-7	17	7
assemblage-18-7	18	7
assemblage-19-7	19	7
assemblage-20-7	20	7
assemblage-21-7	21	7
assemblage-22-7	22	7
assemblage-23-7	23	7
assemblage-24-7	24	7
assemblage-25-7	25	7
assemblage-26-7	26	7
assemblage-27-7	27	7
assemblage-28-7	28	7
assemblage-29-7	29	7
assemblage-30-7	30	7
assemblage-31-7	31	7
assemblage-32-7	32	7
assemblage-33-7	33	7
assemblage-34-7	34	7
assemblage-35-7	35	7
assemblage-36-7	36	7
assemblage-37-7	37	7
assemblage-38-7	38	7
assemblage-39-7	39	7
assemblage-40-7	40	7
assemblage-41-7	41	7
assemblage-42-7	42	7
assemblage-43-7	43	7
assemblage-44-7	44	7
assemblage-45-7	45	7
assemblage-46-7	46	7
assemblage-47-7	47	7
assemblage-48-7	48	7
assemblage-49-7	49	7
assemblage-1-8	1	8
assemblage-2-8	2	8
assemblage-3-8	3	8
assemblage-4-8	4	8
assemblage-5-8	5	8
assemblage-6-8	6	8
assemblage-7-8	7	8
assemblage-8-8	8	8
assemblage-9-8	9	8
assemblage-10-8	10	8
assemblage-11-8	11	8
assemblage-12-8	12	8
assemblage-13-8	13	8
assemblage-14-8	14	8
assemblage-15-8	15	8
assemblage-16-8	16	8
assemblage-17-8	17	8
assemblage-18-8	18	8
assemblage-19-8	19	8
assemblage-20-8	20	8
assemblage-21-8	21	8
assemblage-22-8	22	8
assemblage-23-8	23	8
assemblage-24-8	24	8
assemblage-25-8	25	8
assemblage-26-8	26	8
assemblage-27-8	27	8
assemblage-28-8	28	8
assemblage-29-8	29	8
assemblage-30-8	30	8
assemblage-31-8	31	8
assemblage-32-8	32	8
assemblage-33-8	33	8
assemblage-34-8	34	8
assemblage-35-8	35	8
assemblage-36-8	36	8
assemblage-37-8	37	8
assemblage-38-8	38	8
assemblage-39-8	39	8
assemblage-40-8	40	8
assemblage-41-8	41	8
assemblage-42-8	42	8
assemblage-43-8	43	8
assemblage-44-8	44	8
assemblage-45-8	45	8
assemblage-46-8	46	8
assemblage-47-8	47	8
assemblage-48-8	48	8
assemblage-49-8	49	8
assemblage-1-9	1	9
assemblage-2-9	2	9
assemblage-3-9	3	9
assemblage-4-9	4	9
assemblage-5-9	5	9
assemblage-6-9	6	9
assemblage-7-9	7	9
assemblage-8-9	8	9
assemblage-9-9	9	9
assemblage-10-9	10	9
assemblage-11-9	11	9
assemblage-12-9	12	9
assemblage-13-9	13	9
assemblage-14-9	14	9
assemblage-15-9	15	9
assemblage-16-9	16	9
assemblage-17-9	17	9
assemblage-18-9	18	9
assemblage-19-9	19	9
assemblage-20-9	20	9
assemblage-21-9	21	9
assemblage-22-9	22	9
assemblage-23-9	23	9
assemblage-24-9	24	9
assemblage-25-9	25	9
assemblage-26-9	26	9
assemblage-27-9	27	9
assemblage-28-9	28	9
assemblage-29-9	29	9
assemblage-30-9	30	9
assemblage-31-9	31	9
assemblage-32-9	32	9
assemblage-33-9	33	9
assemblage-34-9	34	9
assemblage-35-9	35	9
assemblage-36-9	36	9
assemblage-37-9	37	9
assemblage-38-9	38	9
assemblage-39-9	39	9
assemblage-40-9	40	9
assemblage-41-9	41	9
assemblage-42-9	42	9
assemblage-43-9	43	9
assemblage-44-9	44	9
assemblage-45-9	45	9
assemblage-46-9	46	9
assemblage-47-9	47	9
assemblage-48-9	48	9
assemblage-49-9	49	9
